Country, Population
Albania,3200000
Andorra,80000
Austria,8390000
Belarus,9600000
Belgium,10710000
Bosnia-Herzegovina,3760000
Bulgaria,7490000
Channel Islands,150000
Croatia,4400000
Czech Republic,10490000
Denmark,5550000
Estonia,1340000
Faeroe Islands,50000
Finland,5360000
France,62790000
Georgia,4350000
Germany,82300000
Greece,11360000
Gibraltar,30000
Vatican City,9999
Iceland,320000
Hungary,9980000
Ireland,4470000
Isle of Man,80000
Italy,60550000
Kosovo,1770000
Latvia,2250000
Liechtenstein,40000
Lithuania,3320000
Luxembourg,510000
Republic of Macedonia,2060000
Malta,420000
Moldova,3570000
Monaco,40000
Montenegro,630000
Netherlands,16610000
Norway,4880000
Poland,38280000
Portugal,10680000
Russia,142960000
Romania,21490000
San Marino,30000
Serbia,8090000
Slovakia,5460000
Slovenia,2030000
Spain,46080000
Sweden,9380000
Switzerland,7660000
Ukraine,45450000
United Kingdom,62040000
