Country,Year,Count,,
ALB,1980,225,,
ALB,1981,194,,
ALB,1982,199,,
ALB,1983,241,,
ALB,1984,239,,
ALB,1985,264,,
ALB,1986,272,,
ALB,1987,261,,
ALB,1988,310,,
ALB,1989,296,,
ALB,1990,318,,
ALB,1991,393,,
ALB,1992,368,,
ALB,1993,470,,
ALB,1994,434,,
ALB,1995,448,,
ALB,1996,406,,
ALB,1997,358,,
ALB,1998,315,,
ALB,1999,282,,
ALB,2000,318,,
ALB,2001,298,,
ALB,2002,351,,
ALB,2003,257,,
ALB,2004,244,,
ALB,2005,242,,
ALB,2006,266,,
ALB,2007,262,,
ALB,2008,249,,
ALB,2009,239,,
ALB,2010,203,,
ALB,2011,205,,
ALB,2012,190,,
ALB,2013,170,,
ALB,2014,156,,
ALB,2015,172,,
AND,1995,150,,
ARM,1980,464,,
ARM,1981,436,,
ARM,1982,431,,
ARM,1983,416,,
ARM,1984,419,,
ARM,1985,422,,
ARM,1986,469,,
ARM,1987,415,,
ARM,1988,390,,
ARM,1989,347,,
ARM,1990,327,,
ARM,1991,350,,
ARM,1992,396,,
ARM,1993,473,,
ARM,1994,598,,
ARM,1995,628,,
ARM,1996,651,,
ARM,1997,575,,
ARM,1998,465,,
ARM,1999,395,,
ARM,2000,343,,
ARM,2001,325,,
ARM,2002,303,,
ARM,2003,300,,
ARM,2004,284,,
ARM,2005,291,,
ARM,2006,278,,
ARM,2007,287,,
ARM,2008,303,,
ARM,2009,311,,
ARM,2010,274,,
ARM,2011,280,,
ARM,2012,323,,
ARM,2013,308,,
ARM,2014,279,,
ARM,2015,270,,
AZE,1990,134,,
AZE,1991,179,,
AZE,1992,178,,
AZE,1993,194,,
AZE,1994,209,,
AZE,1995,200,,
AZE,1996,220,,
AZE,1997,191,,
AZE,1998,201,,
AZE,1999,178,,
AZE,2000,150,,
AZE,2001,166,,
AZE,2002,150,,
AZE,2003,149,,
AZE,2004,150,,
AZE,2005,138,,
AZE,2006,140,,
AZE,2007,147,,
AZE,2008,166,,
AZE,2009,161,,
AZE,2010,162,,
AZE,2011,158,,
AZE,2012,178,,
AZE,2013,162,,
AZE,2014,160,,
AZE,2015,165,,
BEL,1985,141,,
BEL,1986,128,,
BEL,1987,133,,
BEL,1988,124,,
BEL,1989,134,,
BEL,1993,86,,
BEL,1994,92,,
BEL,1995,97,,
BEL,1996,108,,
BEL,1997,106,,
BEL,1998,105,,
BEL,1999,112,,
BEL,2000,120,,
BEL,2001,129,,
BEL,2002,133,,
BEL,2003,139,,
BEL,2004,139,,
BEL,2005,141,,
BEL,2006,145,,
BEL,2007,144,,
BEL,2008,145,,
BEL,2009,148,,
BEL,2010,147,,
BEL,2011,152,,
BGR,1970,1027,,
BGR,1975,992,,
BGR,1980,1217,,
BGR,1981,1226,,
BGR,1982,1192,,
BGR,1983,1093,,
BGR,1984,1074,,
BGR,1985,1098,,
BGR,1986,1124,,
BGR,1987,1149,,
BGR,1988,1134,,
BGR,1989,1176,,
BGR,1990,1375,,
BGR,1991,1443,,
BGR,1992,1491,,
BGR,1993,1273,,
BGR,1994,1228,,
BGR,1995,1349,,
BGR,1996,1365,,
BGR,1997,1371,,
BGR,1998,1222,,
BGR,1999,1001,,
BGR,2000,833,,
BGR,2001,750,,
BGR,2002,764,,
BGR,2003,693,,
BGR,2004,676,,
BGR,2005,588,,
BGR,2006,504,,
BGR,2007,499,,
BGR,2008,471,,
BGR,2009,417,,
BGR,2010,418,,
BGR,2011,448,,
BGR,2012,434,,
BGR,2013,443,,
BGR,2014,416,,
BGR,2015,421,,
BIH,1980,661,,
BIH,1983,677,,
BIH,1984,731,,
BIH,1985,811,,
BIH,1986,860,,
BIH,1987,958,,
BIH,1988,958,,
BIH,1989,981,,
BLR,1990,1792,,
BLR,1993,759,,
BLR,1994,782,,
BLR,1995,804,,
BLR,1996,783,,
BLR,1997,1662,,
BLR,1998,1569,,
BLR,1999,1461,,
BLR,2000,1301,,
BLR,2001,1106,,
BLR,2002,1013,,
BLR,2003,906,,
BLR,2004,806,,
BLR,2005,716,,
BLR,2006,605,,
BLR,2007,447,,
BLR,2008,391,,
BLR,2009,329,,
BLR,2010,308,,
BLR,2011,293,,
BLR,2012,247,,
BLR,2013,264,,
BLR,2014,251,,
BLR,2015,245,,
CHE,1980,215,,
CHE,1981,237,,
CHE,1982,206,,
CHE,1983,206,,
CHE,1984,200,,
CHE,1985,189,,
CHE,1986,185,,
CHE,1987,163,,
CHE,1988,159,,
CHE,1989,157,,
CHE,1990,155,,
CHE,1991,150,,
CHE,1992,145,,
CHE,1993,145,,
CHE,1994,142,,
CHE,1995,144,,
CHE,1996,154,,
CHE,1997,150,,
CHE,1998,160,,
CHE,1999,156,,
CHE,2000,157,,
CHE,2001,172,,
CHE,2002,164,,
CHE,2003,151,,
CHE,2004,150,,
CHE,2005,148,,
CHE,2006,144,,
CHE,2007,143,,
CHE,2008,142,,
CHE,2009,136,,
CHE,2010,138,,
CHE,2011,137,,
CHE,2012,133,,
CHE,2013,127,,
CHE,2014,120,,
CHE,2015,118,,
CZE,1970,486,,
CZE,1971,445,,
CZE,1972,398,,
CZE,1973,308,,
CZE,1974,293,,
CZE,1975,289,,
CZE,1976,304,,
CZE,1977,336,,
CZE,1978,357,,
CZE,1979,375,,
CZE,1980,448,,
CZE,1981,496,,
CZE,1982,526,,
CZE,1983,546,,
CZE,1984,581,,
CZE,1985,611,,
CZE,1986,627,,
CZE,1987,823,,
CZE,1988,829,,
CZE,1989,837,,
CZE,1990,821,,
CZE,1991,797,,
CZE,1992,768,,
CZE,1993,573,,
CZE,1994,504,,
CZE,1995,502,,
CZE,1996,514,,
CZE,1997,477,,
CZE,1998,452,,
CZE,1999,415,,
CZE,2000,358,,
CZE,2001,335,,
CZE,2002,311,,
CZE,2003,290,,
CZE,2004,282,,
CZE,2005,259,,
CZE,2006,240,,
CZE,2007,222,,
CZE,2008,215,,
CZE,2009,208,,
CZE,2010,205,,
CZE,2011,221,,
CZE,2012,212,,
CZE,2013,213,,
CZE,2014,199,,
CZE,2015,184,,
DEU,1991,150,,
DEU,1992,147,,
DEU,1993,139,,
DEU,1994,135,,
DEU,1995,128,,
DEU,1996,164,,
DEU,1997,161,,
DEU,1998,168,,
DEU,1999,169,,
DEU,2000,176,,
DEU,2001,184,,
DEU,2002,181,,
DEU,2003,181,,
DEU,2004,184,,
DEU,2005,181,,
DEU,2006,178,,
DEU,2007,171,,
DEU,2008,168,,
DEU,2009,166,,
DEU,2010,163,,
DEU,2011,164,,
DEU,2012,159,,
DEU,2013,151,,
DEU,2014,139,,
DEU,2015,135,,
DNK,1970,132,,
DNK,1971,148,,
DNK,1972,172,,
DNK,1973,230,,
DNK,1974,349,,
DNK,1975,387,,
DNK,1976,411,,
DNK,1977,415,,
DNK,1978,382,,
DNK,1979,390,,
DNK,1980,407,,
DNK,1981,429,,
DNK,1982,408,,
DNK,1983,409,,
DNK,1984,400,,
DNK,1985,371,,
DNK,1986,363,,
DNK,1987,371,,
DNK,1988,360,,
DNK,1989,350,,
DNK,1990,325,,
DNK,1991,307,,
DNK,1992,278,,
DNK,1993,277,,
DNK,1994,253,,
DNK,1995,249,,
DNK,1996,267,,
DNK,1997,249,,
DNK,1998,247,,
DNK,1999,238,,
DNK,2000,232,,
DNK,2001,233,,
DNK,2002,233,,
DNK,2003,239,,
DNK,2004,234,,
DNK,2005,234,,
DNK,2006,229,,
DNK,2007,251,,
DNK,2008,258,,
DNK,2009,265,,
DNK,2010,258,,
DNK,2011,280,,
DNK,2012,269,,
DNK,2013,279,,
DNK,2014,263,,
ESP,1987,39,,
ESP,1988,62,,
ESP,1989,75,,
ESP,1990,93,,
ESP,1991,106,,
ESP,1992,113,,
ESP,1993,118,,
ESP,1994,129,,
ESP,1995,136,,
ESP,1996,141,,
ESP,1997,134,,
ESP,1998,147,,
ESP,1999,154,,
ESP,2000,160,,
ESP,2001,172,,
HUN,2002,579,,
SVN,2008,227,,
MNE,1992,674,,
HRV,2006,114,,
KGZ,1982,576,,
RUS,2002,1276,,
ISL,1987,164,,
SWE,2004,341,,
GEO,2010,409,,
KAZ,1996,767,,
SVN,1994,582,,
LTU,1990,879,,
NOR,2005,246,,
SVK,2010,154,,
MDA,1982,1112,,
ISL,2011,216,,
ISL,1986,176,,
FIN,2001,191,,
SVN,2010,195,,
LTU,1996,712,,
GBR,1990,234,,
SWE,2011,338,,
ROU,1993,2343,,
SVN,2015,182,,
HRV,1988,732,,
FIN,2010,169,,
MLT,2014,0,,
SVK,2009,163,,
ROU,2001,1157,,
FIN,2011,179,,
TKM,2005,172,,
TUR,2012,61,,
MLT,2006,0,,
