,Country,Year,Count
0,GEO,2015,424
1,BGR,2015,421
2,RUS,2015,385
3,ROU,2015,378
4,MDA,2015,364
5,EST,2015,354
6,HUN,2015,340
7,SWE,2015,331
8,ARM,2015,270
9,FRA,2015,268
10,SRB,2015,257
11,GBR,2015,255
12,UKR,2015,247
13,BLR,2015,245
14,NOR,2015,237
15,ESP,2015,224
16,ISL,2015,223
17,LVA,2015,218
18,KAZ,2015,205
19,MKD,2015,199
20,PRT,2015,192
21,CZE,2015,184
22,SVN,2015,182
23,ALB,2015,172
24,FIN,2015,170
25,AZE,2015,165
26,SMR,2015,156
27,LTU,2015,150
28,KGZ,2015,138
29,DEU,2015,135
30,MNE,2015,133
31,SVK,2015,126
32,CHE,2015,118
33,ISR,2015,102
34,HRV,2015,80
35,TKM,2015,68
36,TJK,2015,39
37,TUR,2015,30
38,POL,2015,3
39,IRL,2015,0
